# Relative absorption vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Absorption refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
23,1.92145213649798e-12,3.35347206315515e-10,1.13238846825093e-09,1.55731142050125e-09,1.70380803678842e-09,1.75148827078535e-09,1.76740332666427e-09,1.77289074386987e-09,1.77483986504877e-09,1.77555278526367e-09
24,7.61058675423609e-13,2.04907520149692e-10,8.14021535338954e-10,1.18822024547339e-09,1.32635914476142e-09,1.37264486180126e-09,1.38831831690452e-09,1.39377607283728e-09,1.39573195657072e-09,1.39645405027077e-09
25,3.04193542685709e-13,1.25664954286387e-10,5.83012221573241e-10,9.01100783554846e-10,1.02597290083998e-09,1.06902985359922e-09,1.0838441933952e-09,1.08906423066158e-09,1.09095562168268e-09,1.09166206770026e-09
26,9.90330878777265e-14,6.25171623805073e-11,3.40527565704188e-10,5.60216583963384e-10,6.52810981264088e-10,6.86013248463766e-10,6.97724321956479e-10,7.01930204057819e-10,7.03480086013072e-10,7.04068586907336e-10
27,3.43285185628858e-14,2.84703456957675e-11,1.77070643462139e-10,3.08714459949665e-10,3.68279571156718e-10,3.90576514605993e-10,3.98673707418682e-10,4.01650198681363e-10,4.02770646190415e-10,4.03205228383277e-10
28,6.92102471089122e-14,5.47523871413975e-11,3.34066670405692e-10,5.80603624325552e-10,6.92497632489158e-10,7.34622629075644e-10,7.50091679647126e-10,7.5589563489926e-10,7.5815346322129e-10,7.59071001963165e-10
29,3.37018242404845e-14,4.1503276655799e-11,2.97115824946391e-10,5.51320045412275e-10,6.75614239664164e-10,7.24832358999201e-10,7.4365999768033e-10,7.51001774574695e-10,7.53972109704283e-10,7.5522882921825e-10
30,1.02640905398655e-14,2.15268469302827e-11,1.88928923983013e-10,3.8348194297055e-10,4.8884377459509e-10,5.33536002053554e-10,5.51535374031625e-10,5.58864192175779e-10,5.61947017297821e-10,5.63298749587269e-10
31,2.63545424697531e-15,9.48800072169437e-12,1.03970446066526e-10,2.3423752165275e-10,3.13629648012051e-10,3.50257315121993e-10,3.66007122813136e-10,3.72786958770483e-10,3.75782890783529e-10,3.77154882851201e-10
32,6.10929425620734e-16,3.54138953307638e-12,4.7816664008293e-11,1.19705118231365e-10,1.69140025084645e-10,1.94121598746992e-10,2.05684664685886e-10,2.10988661753041e-10,2.13467997015882e-10,2.14660608622824e-10
33,1.48888770556891e-16,1.4309075974318e-12,2.41775558981968e-11,6.81233988074367e-11,1.02607122930567e-10,1.21875259386377e-10,1.31531515082967e-10,1.36260180835024e-10,1.38594547756866e-10,1.39769012157904e-10
34,3.56222885422061e-17,5.68203012532139e-13,1.21281862279843e-11,3.89579799439476e-11,6.32759560111815e-11,7.84580550984218e-11,8.67515180393557e-11,9.10994917553206e-11,9.33654027090123e-11,9.45548376922411e-11
35,7.29031527474627e-18,2.01675037048449e-13,5.67754356951073e-12,2.1454512476173e-11,3.8357238891162e-11,5.02909626378148e-11,5.74210180807703e-11,6.14135385947226e-11,6.35978773425014e-11,6.47861715355482e-11
36,1.26672845330784e-18,6.19163865232692e-14,2.41603211387753e-12,1.11053179232945e-11,2.23050211632714e-11,3.13151726958794e-11,3.72132078952836e-11,4.07363893517088e-11,4.27553244947722e-11,4.38909129311055e-11
37,3.01345013076445e-19,2.24383640750161e-14,1.15113516402378e-12,6.30880005755228e-12,1.41434890407521e-11,2.12405696292049e-11,2.62909841136452e-11,2.94903294759154e-11,3.14015864754495e-11,3.25090549336014e-11
