# Relative energy density vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Density refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
52,4.41302620076673e-28,7.836200592274e-20,1.46726459144053e-16,5.54208721140211e-15,3.62333619004731e-14,9.59811213184694e-14,1.53144309665644e-13,1.80529760278291e-13,1.76009432228729e-13,1.51597572446011e-13
53,7.9520161234384e-29,2.39443761358508e-20,6.08087181752854e-17,2.80268380224077e-15,2.11194080494784e-14,6.22205182922246e-14,1.07752833533574e-13,1.35491643532244e-13,1.39138680191734e-13,1.25052777398717e-13
54,1.45678634850378e-29,7.24509074785868e-21,2.46476260496697e-17,1.37986732504238e-15,1.19614706028295e-14,3.91727815274714e-14,7.36540012287689e-14,9.88697003083786e-14,1.07053885962272e-13,1.00516162180455e-13
55,2.75847984728812e-30,2.23234857042501e-21,1.00670817507004e-17,6.82119947030407e-16,6.78851265731033e-15,2.46890082275724e-14,5.03985962277226e-14,7.22706621080948e-14,8.26033716910713e-14,8.11373471154388e-14
56,4.92823877792012e-31,7.22569852748073e-22,4.36521748038052e-18,3.55969164761302e-16,4.02901725906413e-15,1.61420433256132e-14,3.55908876943951e-14,5.43874688927669e-14,6.55909076948081e-14,6.74592245481199e-14
57,4.32345060974428e-32,1.50762062214048e-22,1.39308153765721e-18,1.47927455996444e-16,2.00157846917964e-15,9.10581009324528e-15,2.20618641948134e-14,3.62472648802035e-14,4.62960597155226e-14,4.98842434057162e-14
58,4.16148809615308e-33,3.09234387589109e-23,4.172409319085e-19,5.66695091084643e-17,9.07664462220198e-16,4.65833569499546e-15,1.23468229340745e-14,2.17433126646129e-14,2.93491812427165e-14,3.30814082602879e-14
59,6.21723764951814e-34,6.99149826608839e-24,1.28408287808654e-19,2.19645948180797e-17,4.15121261352489e-16,2.40087747649511e-15,6.95179804308149e-15,1.30955517299039e-14,1.8633603360285e-14,2.19095995548821e-14
60,2.32574462348391e-34,1.91896232476016e-24,4.12350093026712e-20,8.37952382556591e-18,1.8196813104728e-16,1.16903630443359e-15,3.6645975473265e-15,7.33699009205399e-15,1.09505043122805e-14,1.33769047357539e-14
61,1.4420222636365e-34,6.97642463058309e-25,1.53402752407808e-20,3.47771879883664e-18,8.40880660019199e-17,5.8888446453743e-16,1.9717514144582e-15,4.15024029962548e-15,6.43623075017874e-15,8.0999253246276e-15
62,9.18461899711805e-35,3.24979957968564e-25,6.86138284800806e-21,1.6330826491326e-18,4.20388659955785e-17,3.10633550575477e-16,1.08390394766136e-15,2.35257788208856e-15,3.7321196946138e-15,4.77661836358545e-15
63,4.14764239911758e-35,1.06371488734891e-25,2.20573438532871e-21,5.95918175072117e-19,1.72490654073125e-17,1.39355873646e-16,5.1985805878761e-16,1.18678635491585e-15,1.95696577144412e-15,2.58097341922645e-15
64,9.38609290272461e-36,2.58957016740149e-26,6.83513237869263e-22,2.12970576051685e-19,6.65385853572628e-18,5.62783589183481e-17,2.16302667522852e-16,5.03904160097816e-16,8.42669061744031e-16,1.12236275517518e-15
